Author
Lu Xun

Wu Cheng’en

Cao Xueqin

Jin Yong

Han Feizi

Sun Tzu

José Saramago

Fernando Pessoa

Luís de Camões

Clarice Lispector

Jorge Amado

Mario Vargas Llosa

Isabel Allende

Roberto Bolaño

Carlos Fuentes

Julio Cortázar

Alejo Carpentier

Gabriel Mistral

Pablo Neruda

Octavio Paz

Juan Rulfo

Jose Rizal

Nick Joaquin

Bienvenido Santos

Ninotchka Rosca

Carlos Bulosan

V.S. Naipaul

Derek Walcott

Kamala Das

Shashi Tharoor

Anita Desai

Anita Nair

Ruskin Bond

Khushwant Singh

Vikram Paralkar

Sudha Murty

Chetan Bhagat

Amish Tripathi

Devdutt Pattanaik

K.R. Meera

Perumal Murugan

Aravind Adiga

Manu Joseph

Jeet Thayil

Anuja Chauhan

Chitra Banerjee Divakaruni
